Customer_id,Account_balance,Transaction_amt,Reported_amount,Currency,Country,TransactionDate,Transaction_remarks,Risk_Score
1000,5190,2452,2452,INR,IN,2025-03-11,Enter science property drug.,0
1001,93831,1670,1670,EUR,DE,2025-02-25,Government site food step interview this performance.,0
1002,81831,2102,1975,USD,US,2025-03-03,,1
1003,37998,296,296,INR,IN,2025-03-20,,0
1004,56446,2108,2108,USD,US,2025-03-06,,0
1005,25966,4866,4764,EUR,FR,2025-03-01,,1
1006,77930,24,39,EUR,DE,2025-02-27,,1
1007,35598,1672,1672,GBP,UK,2025-03-17,,0
1008,61915,3744,3744,INR,IN,2025-02-22,Guess technology degree special.,0
1009,81514,4490,4490,EUR,IN,2025-03-17,Television money light discuss.,0
1010,37723,1569,1569,USD,US,2025-03-11,Say this thank season.,0
1011,26288,213,213,USD,US,2025-02-24,,0
1012,25394,1665,1665,EUR,FR,2025-02-28,Else heavy my area.,0
1013,24684,2995,2995,EUR,FR,2025-02-23,Card state tonight west arrive.,0
1014,37287,4605,4605,EUR,DE,2025-03-02,,0
1015,96758,1208,1208,USD,US,2025-02-23,,0
1016,35573,3453,3453,EUR,FR,2025-03-21,Only product ready reality put.,0
1017,-4192,4469,4469,USD,US,2025-03-18,Couple place lay natural seek but military early.,2
1018,94640,3244,3244,GBP,UK,2025-03-01,Enough newspaper image on.,0
1019,34208,1268,1268,EUR,FR,2025-03-13,,0
1020,-1054,847,847,INR,IN,2025-03-06,,2
1021,94913,1075,1075,GBP,UK,2025-03-10,,0
1022,3039,1303,1326,USD,US,2025-03-19,,1
1023,66786,3071,3071,GBP,UK,2025-03-10,,0
1024,89268,3545,3545,EUR,FR,2025-03-23,,0
1025,80490,1815,1815,GBP,UK,2025-03-01,,0
1026,73349,1947,1947,GBP,IN,2025-03-08,,0
1027,37859,92,92,INR,IN,2025-02-24,,0
1028,39788,29,29,INR,IN,2025-02-26,,0
1029,58981,4562,4562,USD,US,2025-03-22,Risk six together senior main few drive.,0
1030,-5582,4159,4159,EUR,DE,2025-02-24,,2
1031,10251,4436,4436,INR,UK,2025-03-21,,0
1032,21426,2174,2174,USD,US,2025-03-18,,0
1033,78919,141,23,GBP,UK,2025-03-08,,1
1034,-8735,2020,2020,USD,US,2025-02-23,Last my too detail understand society.,2
1035,-407,2874,2874,USD,IN,2025-03-16,,2
1036,81121,3174,3174,USD,FR,2025-03-21,,0
1037,27940,1001,1001,GBP,UK,2025-03-01,Federal yes position field continue.,0
1038,-737,1291,1281,GBP,UK,2025-02-28,,2
1039,57212,691,691,EUR,DE,2025-03-19,,0
1040,79919,3809,3809,GBP,UK,2025-03-10,,0
1041,67197,2940,3082,EUR,FR,2025-02-25,,1
1042,3406,1425,1425,USD,US,2025-03-19,,0
1043,94761,4776,4776,USD,US,2025-03-05,,0
1044,-6953,2276,2276,USD,US,2025-03-17,Until also month Democrat miss fund catch value.,2
1045,81978,2835,2835,USD,US,2025-03-02,Building citizen speech even.,0
1046,86634,1589,1589,EUR,FR,2025-03-03,,0
1047,6596,4497,4497,EUR,DE,2025-03-09,,0
1048,60105,3798,3798,EUR,DE,2025-03-16,,0
1049,26066,432,432,EUR,FR,2025-03-19,Wait production wish.,0
1050,-8313,4653,4703,EUR,FR,2025-03-07,,3
1051,79971,1719,1719,EUR,DE,2025-03-22,,0
1052,50209,3846,3846,GBP,UK,2025-03-06,,0
1053,20288,4146,4146,INR,US,2025-03-06,,0
1054,70641,3731,3731,EUR,DE,2025-03-17,,0
1055,87987,234,234,USD,US,2025-03-11,,0
1056,73204,3016,3016,EUR,DE,2025-03-03,,0
1057,51059,1749,1749,USD,US,2025-02-24,Sometimes commercial here television enough form ability.,0
1058,1344,1409,1409,USD,US,2025-03-19,,1
1059,70198,4261,4261,GBP,UK,2025-03-09,,0
1060,77498,925,925,EUR,DE,2025-02-23,,0
1061,55034,242,242,INR,IN,2025-03-23,,0
1062,5403,477,421,USD,US,2025-03-10,,1
1063,42674,474,474,EUR,FR,2025-03-21,Economy much rich statement.,0
1064,61177,3276,3276,GBP,FR,2025-03-20,,0
1065,97607,4985,4985,USD,US,2025-03-19,,0
1066,30387,712,712,USD,US,2025-03-08,,0
1067,76022,385,385,USD,US,2025-03-01,,0
1068,16442,2976,2976,EUR,FR,2025-03-11,,0
1069,-2752,1215,1215,INR,IN,2025-03-17,,2
1070,39436,4325,4325,INR,US,2025-02-28,,0
1071,55674,619,619,USD,US,2025-03-12,,0
1072,1525,3444,3444,EUR,UK,2025-03-15,,1
1073,53586,3755,3755,INR,IN,2025-03-18,,0
1074,86700,2558,2558,USD,US,2025-03-20,,0
1075,60996,2068,2068,INR,UK,2025-03-03,,0
1076,65883,2937,2937,INR,IN,2025-03-07,,0
1077,83508,3632,3632,USD,DE,2025-02-23,East candidate billion yet simply cover charge.,0
1078,3100,2101,2101,INR,FR,2025-03-14,,0
1079,-3793,898,898,EUR,DE,2025-03-18,,2
1080,98879,1097,1097,GBP,UK,2025-03-04,,0
1081,79602,1247,1247,EUR,DE,2025-03-11,,0
1082,13134,959,959,USD,US,2025-02-24,Dog large without usually put major suggest group.,0
1083,61431,223,223,EUR,FR,2025-03-05,,0
1084,21155,3142,3142,INR,IN,2025-03-15,,0
1085,80651,4471,4471,USD,US,2025-02-24,,0
1086,60035,708,708,EUR,FR,2025-03-03,,0
1087,50051,1650,1650,USD,US,2025-03-03,,0
1088,71683,4676,4676,GBP,UK,2025-02-25,Thus billion manage.,0
1089,9429,3460,3460,EUR,DE,2025-03-14,,0
1090,91029,2536,2536,GBP,UK,2025-03-19,,0
1091,96560,4560,4560,USD,US,2025-03-04,,0
1092,70072,1409,1409,INR,US,2025-03-14,,0
1093,53019,4041,4041,EUR,FR,2025-02-24,,0
1094,90415,4754,4754,USD,US,2025-03-23,,0
1095,77802,2059,2059,EUR,DE,2025-03-22,,0
1096,-5504,2867,2867,USD,US,2025-02-22,,2
1097,73817,3772,3772,EUR,FR,2025-03-13,,0
1098,34175,1202,1202,EUR,DE,2025-03-09,,0
1099,71336,3643,3643,EUR,FR,2025-03-15,,0
1100,66196,689,689,EUR,FR,2025-03-10,,0
1101,74556,2686,2686,INR,IN,2025-02-28,,0
1102,40082,335,335,USD,US,2025-03-02,,0
1103,6767,2148,2148,INR,IN,2025-03-21,,0
1104,46828,1352,1352,USD,US,2025-03-10,,0
1105,38526,2586,2586,GBP,UK,2025-03-08,,0
1106,11940,865,865,EUR,FR,2025-03-10,,0
1107,71642,856,856,USD,US,2025-03-23,If election box toward past expert yourself bar.,0
1108,77182,2281,2281,GBP,UK,2025-03-12,,0
1109,27033,2990,2990,INR,IN,2025-03-17,,0
1110,87459,269,269,INR,DE,2025-03-02,,0
1111,25900,98,98,EUR,FR,2025-03-19,Participant recognize girl because.,0
1112,46265,3580,3580,INR,IN,2025-02-27,,0
1113,50411,2187,2187,EUR,DE,2025-03-22,Stand imagine seek truth individual goal talk.,0
1114,-1957,4108,4108,EUR,FR,2025-02-28,,2
1115,85521,2025,2025,USD,US,2025-02-22,,0
1116,22011,4392,4392,INR,IN,2025-03-18,,0
1117,40818,83,83,USD,US,2025-02-22,American easy model short.,0
1118,17619,2270,2270,GBP,FR,2025-03-15,,0
1119,14768,4970,4970,EUR,DE,2025-03-20,,0
1120,54510,1934,1934,USD,US,2025-02-23,,0
1121,-6824,443,443,INR,IN,2025-03-14,City total born magazine until thus pay.,2
1122,97922,4956,4956,USD,US,2025-03-11,,0
1123,19726,2061,2061,GBP,UK,2025-03-17,,0
1124,94577,2933,2933,EUR,UK,2025-02-22,,0
1125,38397,4538,4538,EUR,UK,2025-03-18,,0
1126,17809,292,292,EUR,FR,2025-03-09,,0
1127,-2377,1720,1720,EUR,DE,2025-03-01,Lay start officer still pull whatever.,2
1128,32655,941,941,INR,IN,2025-03-16,Friend benefit question arrive forward.,0
1129,56555,798,798,EUR,DE,2025-03-04,,0
1130,-9687,2895,2895,GBP,UK,2025-03-05,,2
1131,89122,4699,4699,INR,IN,2025-02-25,,0
1132,35415,1718,1718,GBP,UK,2025-03-03,,0
1133,94517,548,548,USD,UK,2025-02-22,,0
1134,8171,622,622,GBP,UK,2025-03-12,Themselves base test set.,0
1135,71406,3540,3540,EUR,FR,2025-03-23,,0
1136,-1470,4750,4750,EUR,FR,2025-03-16,,2
1137,12305,2638,2638,GBP,UK,2025-02-26,Public mission sing require modern nice.,0
1138,-7490,354,354,EUR,FR,2025-02-22,,2
1139,21625,149,149,USD,US,2025-03-12,,0
1140,-1919,4265,4265,EUR,FR,2025-03-18,,2
1141,96880,3230,3230,INR,IN,2025-03-06,Consumer play would use.,0
1142,24934,1146,1146,EUR,FR,2025-03-03,,0
1143,18054,3814,3814,USD,FR,2025-03-10,,0
1144,23083,1485,1485,EUR,DE,2025-03-05,,0
1145,60684,2820,2820,USD,UK,2025-02-28,Figure process information guy unit wall travel blood.,0
1146,-956,2657,2657,INR,IN,2025-02-24,,2
1147,-3839,1897,1897,GBP,UK,2025-03-23,,2
1148,65356,4106,4106,GBP,UK,2025-02-22,Establish third position say place quite maintain.,0
1149,54556,2584,2584,EUR,DE,2025-02-24,,0
1150,46206,4805,4805,EUR,DE,2025-03-22,,0
1151,3011,856,856,EUR,FR,2025-03-20,Again already represent community.,0
1152,58286,4343,4343,EUR,DE,2025-03-02,,0
1153,10468,1978,1978,GBP,UK,2025-03-22,,0
1154,92026,2807,2807,INR,IN,2025-03-02,,0
1155,72283,3987,3987,INR,IN,2025-03-14,,0
1156,49896,2579,2579,INR,IN,2025-03-04,,0
1157,77475,1016,1016,EUR,FR,2025-03-08,,0
1158,61413,4307,4307,EUR,DE,2025-03-05,Expert according likely.,0
1159,2723,2978,2978,EUR,FR,2025-02-22,,1
1160,60368,3021,3021,USD,US,2025-03-18,Figure little back defense ask.,0
1161,29758,978,978,EUR,FR,2025-02-23,,0
1162,96614,3767,3767,EUR,DE,2025-03-22,,0
1163,17914,3516,3516,GBP,UK,2025-03-15,,0
1164,44991,2733,2733,GBP,UK,2025-03-23,,0
1165,35768,318,318,INR,IN,2025-03-21,,0
1166,94690,319,319,EUR,FR,2025-03-03,,0
1167,23582,3349,3349,EUR,FR,2025-03-03,,0
1168,25505,664,664,EUR,UK,2025-03-11,Student relate heavy collection each.,0
1169,82713,2948,2948,INR,US,2025-02-22,,0
1170,16258,2378,2378,EUR,FR,2025-03-18,,0
1171,-627,602,602,GBP,UK,2025-03-08,,2
1172,78232,1536,1536,INR,IN,2025-03-10,,0
1173,-5179,3285,3285,EUR,FR,2025-03-10,,2
1174,95094,3635,3635,EUR,DE,2025-03-06,,0
1175,-1199,2917,2917,INR,IN,2025-03-23,Couple measure others property.,2
1176,-1783,3879,3879,USD,US,2025-03-15,,2
1177,71567,1988,1988,GBP,UK,2025-03-19,,0
1178,51569,477,477,USD,US,2025-02-26,,0
1179,80295,3771,3771,EUR,US,2025-03-14,,0
1180,75321,207,207,EUR,UK,2025-03-01,,0
1181,43354,1273,1273,GBP,UK,2025-03-17,,0
1182,65546,2680,2680,INR,IN,2025-02-27,,0
1183,49912,625,625,INR,IN,2025-03-17,,0
1184,22035,1984,1984,USD,US,2025-02-24,,0
1185,98314,290,290,EUR,FR,2025-03-23,,0
1186,18008,2958,2958,EUR,DE,2025-03-13,,0
1187,15304,4707,4707,USD,US,2025-03-06,,0
1188,75762,3768,3768,GBP,UK,2025-03-10,,0
1189,81256,172,172,GBP,UK,2025-03-08,,0
1190,88989,3665,3665,USD,DE,2025-03-13,,0
1191,13745,134,134,EUR,DE,2025-02-26,,0
